Year,ID,Name,Ideal.point
1946,UKG,United Kingdom,2.158
1947,UKG,United Kingdom,2.119
1948,UKG,United Kingdom,2.074
1949,UKG,United Kingdom,2.039
1950,UKG,United Kingdom,1.574
1951,UKG,United Kingdom,1.832
1952,UKG,United Kingdom,2.106
1953,UKG,United Kingdom,2.193
1954,UKG,United Kingdom,2.391
1955,UKG,United Kingdom,2.209
1956,UKG,United Kingdom,2.247
1957,UKG,United Kingdom,2.225
1958,UKG,United Kingdom,2.389
1959,UKG,United Kingdom,2.067
1960,UKG,United Kingdom,1.899
1961,UKG,United Kingdom,1.844
1962,UKG,United Kingdom,2.002
1963,UKG,United Kingdom,2.072
1965,UKG,United Kingdom,2.006
1966,UKG,United Kingdom,2.108
1967,UKG,United Kingdom,2.192
1968,UKG,United Kingdom,2.108
1969,UKG,United Kingdom,2.024
1970,UKG,United Kingdom,1.85
1971,UKG,United Kingdom,1.599
1972,UKG,United Kingdom,1.965
1973,UKG,United Kingdom,2.118
1974,UKG,United Kingdom,1.777
1975,UKG,United Kingdom,1.859
1976,UKG,United Kingdom,2.071
1977,UKG,United Kingdom,1.957
1978,UKG,United Kingdom,2.018
1979,UKG,United Kingdom,2.028
1980,UKG,United Kingdom,1.976
1981,UKG,United Kingdom,1.925
1982,UKG,United Kingdom,1.955
1983,UKG,United Kingdom,1.971
1984,UKG,United Kingdom,2.047
1985,UKG,United Kingdom,2.04
1986,UKG,United Kingdom,2.103
1987,UKG,United Kingdom,2.03
1988,UKG,United Kingdom,2.052
1989,UKG,United Kingdom,2.105
1990,UKG,United Kingdom,2.108
1991,UKG,United Kingdom,1.992
1992,UKG,United Kingdom,1.863
1993,UKG,United Kingdom,1.904
1994,UKG,United Kingdom,1.986
1995,UKG,United Kingdom,2.228
1996,UKG,United Kingdom,2.034
1997,UKG,United Kingdom,1.977
1998,UKG,United Kingdom,1.759
1999,UKG,United Kingdom,1.687
2000,UKG,United Kingdom,1.689
2001,UKG,United Kingdom,1.626
2002,UKG,United Kingdom,1.674
2003,UKG,United Kingdom,1.67
2004,UKG,United Kingdom,1.635
2005,UKG,United Kingdom,1.671
2006,UKG,United Kingdom,1.533
2007,UKG,United Kingdom,1.625
2008,UKG,United Kingdom,1.588
2009,UKG,United Kingdom,1.479
2010,UKG,United Kingdom,1.611
2011,UKG,United Kingdom,1.497
2012,UKG,United Kingdom,1.53
1946,USA,United States of America,1.714
1947,USA,United States of America,1.813
1948,USA,United States of America,1.936
1949,USA,United States of America,1.877
1950,USA,United States of America,1.811
1951,USA,United States of America,1.828
1952,USA,United States of America,1.905
1953,USA,United States of America,1.693
